"change","proposal.md","requirements.md","design.md","tasks.md","verify-result.md","verify-facts.json","doc_count"
"2026-04-08-derive-state","1","1","1","1","1","0","5"
"2026-05-13-cli-subagent-enforce","1","1","1","1","0","0","4"
"2026-05-13-dashboard","1","1","1","1","0","0","4"
"2026-05-28-module-docs-sync-on-archive","1","1","1","1","1","0","5"
"2026-05-29-worktree-isolation","1","1","1","1","0","0","4"
"2026-05-31-sqlite-migration","1","1","1","1","0","0","4"
"2026-06-02-module-doc-redesign","1","1","1","1","1","0","5"
"2026-06-09-waiting-state-machine","0","0","1","0","0","0","1"
"2026-06-28-worktree-deps-provision","1","1","1","1","1","0","5"
"2026-07-06-execute-deps-gate-deadlock","1","1","1","1","1","0","5"
"2026-07-06-kanban-better-board","1","1","1","1","0","0","4"
"2026-07-09-machine-interface-v1","1","1","1","1","1","0","5"
"2026-07-10-quick-session-isolation","1","1","1","1","0","0","4"
"2026-07-10-tooling-followups","0","0","1","0","0","0","1"
"2026-07-11-execute-worktree-platform-gaps","1","1","1","1","1","0","5"
"2026-08-02-init-claude-md","1","1","1","1","0","0","4"
"2026-08-05-tooling-feedback-fixes","1","1","1","1","1","0","5"
"2026-08-06-execute-runs-isolation","1","1","1","1","1","0","5"
"2026-08-06-sillyspec-self-tooling-fixes","1","1","1","1","1","0","5"
"2026-08-07-sillyhub-mcp-dispatch","1","1","1","1","1","0","5"
"2026-08-08-concurrent-write-preflight","1","1","1","1","1","0","5"
"2026-08-08-noai-completion-gate","1","1","1","1","1","0","5"
"2026-08-08-progress-db-concurrency","1","1","1","1","1","0","5"
"2026-08-09-complete-gate-atomicity","1","1","1","1","1","0","5"
"2026-08-09-worktree-git-injection","1","1","1","1","1","0","5"
"2026-08-09-worktree-junction-fail-loud","1","1","1","1","1","0","5"
"2026-08-10-local-yaml-generation","1","1","1","1","1","0","5"
"2026-08-10-platform-progress-sync","1","1","1","1","1","0","5"
"2026-08-10-review-json-scaffold","1","1","1","1","1","0","5"
"2026-08-10-worktree-apply-dirty-resilient","1","1","1","1","1","0","5"
"2026-08-11-cross-repo-task-support","1","1","1","1","1","0","5"
"2026-08-11-node-sqlite-migration","1","1","1","1","1","0","5"
"2026-08-13-module-impact-living-doc","1","1","1","1","1","0","5"
"2026-08-13-quick-hunk-separation","1","1","1","1","1","0","5"
"2026-08-13-worktree-execute-loss-guard","1","1","1","1","1","0","5"
"2026-08-14-doc-ref-check","1","1","1","1","0","0","4"
"2026-08-15-docs-check-productize","1","1","1","1","1","0","5"
"2026-08-15-docs-debt-inject","1","1","1","1","1","0","5"
"2026-08-15-docs-signals-o12","1","1","1","1","1","0","5"
"2026-08-15-platform-takeover-declaration","1","1","1","1","1","0","5"
"2026-08-16-scan-diff-command","1","1","1","1","1","0","5"
"2026-08-16-scan-docs-reconcile","1","1","1","1","1","0","5"
"2026-08-16-state-machine-fail-open","1","1","1","1","1","0","5"
"2026-08-16-state-split-fixes","1","1","1","1","1","0","5"
"2026-08-17-execute-batch-dispatch","1","1","1","1","1","0","5"
"2026-08-17-quick-close-linked-changes","1","1","1","1","1","0","5"
"2026-08-18-platform-map-auto-anchors","1","1","1","1","1","0","5"
"2026-08-19-reopen-and-execute-batch-guard","1","1","1","1","1","0","5"
"2026-08-20-task-truth-unify","1","1","1","1","1","0","5"
"2026-08-23-adopt-harness-practices","1","1","1","1","1","0","5"
"2026-08-24-decision-touch-cli-drift","0","0","1","1","1","0","3"
"2026-09-06-ir-stage-p3a","1","1","1","1","1","0","5"
"2026-09-07-endpoint-baseline","1","1","1","1","1","1","6"
"2026-09-07-ir-hardening","1","1","1","1","1","1","6"
"2026-09-07-ir-stage-p3b","1","1","1","1","1","1","6"
"2026-09-07-ir-stage-p3c","1","1","1","1","1","1","6"
"2026-09-07-ir-stage-p3d","1","1","1","1","1","1","6"
"2026-09-08-auto-driver","1","1","1","1","1","1","6"
"2026-09-08-docs-fix-capability","1","1","1","1","1","1","6"
"2026-09-08-ir-verify-facts","1","1","1","1","1","1","6"
"2026-09-09-doctor-noai","1","1","1","1","1","1","6"
"2026-09-09-plan-derived","1","1","1","1","1","1","6"
"2026-09-10-change-scope-audit","1","1","1","1","1","1","6"
"2026-09-10-review-dispatch","1","1","1","1","1","1","6"
"2026-09-11-cross-change-decision-guard","1","1","1","1","1","1","6"
"2026-09-11-friction-signal-hint","1","1","1","1","1","1","6"
"2026-09-14-acceptance-test-matrix","1","1","1","1","1","1","6"
"2026-09-14-apply-conflict-hardening","1","1","1","1","1","1","6"
"2026-09-14-change-ownership-guards","1","1","1","1","1","1","6"
"2026-09-14-knowledge-loop-close","1","1","1","1","1","1","6"
"2026-09-14-quick-exit-tiered-gates","1","1","1","1","1","1","6"
"2026-09-14-scan-incremental-refresh","1","1","1","1","1","1","6"
